Разделяй и властвуй.|Гай Юлий Цезарь
Делай что должен — и будь что будет.|Марк Аврелий
Тот непобедим, кто победил самого себя.|Сенека
Не тот велик, кого судьба не сломила, а тот, кто стоя принял удар.|Сенека
Трудности укрепляют ум, как труд укрепляет тело.|Сенека
Судьба ведёт того, кто хочет, и тащит того, кто не хочет.|Клеанф
Богатство — не в обилии имущества, а в малости потребностей.|Эпиктет
Мы страдаем не от событий, а от наших суждений о них.|Эпиктет
Счастье — не в вещах, а в нас самих.|Марк Аврелий
Время — единственное, чего нельзя вернуть.|Сенека
Покой — не бегство от бури, а умение стоять в ней.|Марк Аврелий
Добродетель — единственное истинное благо.|Зенон Китийский
Познай самого себя.|Надпись в Дельфах
Лучшая месть — не быть похожим на своего врага.|Марк Аврелий
Препятствие на пути становится самим путём.|Марк Аврелий
Ни один человек не свободен, пока он не стал хозяином самому себе.|Эпиктет
Пока мы откладываем жизнь, она проходит.|Сенека
Пришёл, увидел, победил.|Юлий Цезарь
Жребий брошен.|Юлий Цезарь
Величайшая победа — это победа над самим собой.|Платон
Удача любит смелых.|Теренций
Помни о смерти.|Античная мудрость
Если хочешь мира, готовься к войне.|Вегеций
Характер — это судьба.|Гераклит
Ничто не принадлежит нам, кроме времени.|Сенека
Путь в тысячу ли начинается с первого шага.|Лао-цзы
Живи так, будто завтра умрёшь. Учись так, будто будешь жить вечно.|Марк Аврелий
Не важно, что с тобой случилось, важно, как ты на это реагируешь.|Эпиктет
Истинная мудрость приходит к каждому из нас тогда, когда мы сознаём, как мало понимаем в жизни.|Сократ
Управляй своим настроением, ибо оно, если не повинуется, то повелевает.|Гораций
